Name	YPS606_MSN24_ETOH_REP1_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP2_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP3_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP4_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP1_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP2_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP3_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP4_R1.fastq.gz_quant	YPS606_WT_ETOH_REP1_R1.fastq.gz_quant	YPS606_WT_ETOH_REP2_R1.fastq.gz_quant	YPS606_WT_ETOH_REP3_R1.fastq.gz_quant	YPS606_WT_ETOH_REP4_R1.fastq.gz_quant	YPS606_WT_MOCK_REP1_R1.fastq.gz_quant	YPS606_WT_MOCK_REP2_R1.fastq.gz_quant	YPS606_WT_MOCK_REP3_R1.fastq.gz_quant	YPS606_WT_MOCK_REP4_R1.fastq.gz_quant
YKR044W	15.1465	9.43503	9.80563	7.18732	4.65197	11.2267	3.61287	8.46684	5.64945	2.71965	2.37762	8.0842	8.18239	8.42179	3.31969	3.66506
YEL030C-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YER088C-A	63.1755	103.302	107.36	69.9488	0	32.7783	105.484	123.602	0	39.7024	69.4188	0	71.6698	92.2084	72.6932	133.76
YGR043C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YFR040W	28.8515	24.051	24.0343	25.3679	15.5071	14.9694	12.7518	15.9382	35.4488	37.3298	33.5676	30.6471	12.8356	11.5597	14.9717	10.0613
YGR057C	9.77542	5.32813	16.6123	10.8235	26.2705	10.1439	0	7.65021	6.3807	6.14334	16.1122	6.08706	29.5728	23.7797	18.7469	24.8367
YMR024W	63.4132	69.1272	45.9792	56.1696	32.72	31.5855	25.4115	17.8657	23.1793	44.634	19.5104	53.702	36.4493	34.554	42.8071	30.0749
YCR054C	9.74153	10.6193	5.51822	7.19064	13.9624	3.36956	9.48818	6.35307	2.11952	2.04068	5.35212	6.06596	18.4189	11.0587	6.2273	12.3753
YNL156C	97.2504	113.866	77.5324	71.7848	58.0781	37.3762	45.1053	39.4633	89.3396	104.125	83.1142	89.7139	27.2411	31.5428	41.4451	33.555
YDL167C	8.58036	6.68109	9.72092	6.78594	27.6707	22.8954	11.2567	23.982	0	4.62198	1.3469	1.52655	13.9058	16.6981	15.0446	11.4192
YNR058W	0	4.27859	0	0	2.10957	0	1.63836	0	0	2.4666	0	0	1.48422	0	0	1.66203
YKR071C	96.9386	73.6513	83.2002	35.7773	22.1042	24.386	19.6192	27.5868	38.3482	40.6139	29.0505	36.5835	8.88667	31.4417	18.0271	29.8539
YLR347C	43.096	43.7017	45.4182	28.8518	47.4039	64.4803	31.7951	30.5894	30.0925	46.6089	37.4434	37.4448	46.2375	37.058	42.2849	40.7424
YBL071C-B	0	0	0	0	0	0	0	0	0	0	741.233	0	0	0	0	0
