ORF	SGD	GENENAME	logFC	logCPM	F	PValue	FDR
YHR109W	S000001151	CTM1	0.23	4.07	1.51	0.23	0.394
YGR117C	S000003349	NA	0.23	5.79	3.62	0.0685	0.167
YIR026C	S000001465	YVH1	0.23	5.7	2.44	0.131	0.264
YGL201C	S000003169	MCM6	0.23	5.97	3.98	0.0569	0.146
YPL157W	S000006078	TGS1	0.23	4.3	2.54	0.124	0.254
YLR410W	S000004402	VIP1	0.23	6.81	4.23	0.0503	0.133
YOR336W	S000005863	KRE5	0.23	6.42	5.13	0.0325	0.0956
YMR129W	S000004736	POM152	0.23	7.52	6.45	0.0177	0.0598
YOR159C	S000005685	SME1	0.23	3.75	1.37	0.254	0.421
YOL055C	S000005416	THI20	0.23	3.95	2.16	0.154	0.297
YJR100C	S000003861	AIM25	0.23	4.37	3.21	0.0854	0.196
YML105C	S000004573	SEC65	0.23	5.83	2.9	0.101	0.22
YMR078C	S000004683	CTF18	0.23	4.5	1.28	0.27	0.44
YDR135C	S000002542	YCF1	0.23	8.26	5.5	0.0272	0.0839
YOL038W	S000005398	PRE6	0.23	6.71	3.43	0.076	0.18
YLR447C	S000004439	VMA6	0.23	8.49	6.22	0.0196	0.065
YGL216W	S000003184	KIP3	0.23	4.74	3.02	0.0947	0.209
YNR021W	S000005304	NA	0.23	8.36	5.57	0.0263	0.0817
YML046W	S000004509	PRP39	0.22	5.25	2.75	0.11	0.233
YGL207W	S000003175	SPT16	0.22	7.89	4.62	0.0414	0.115
YDR152W	S000002559	GIR2	0.22	6.1	2.22	0.15	0.291
YLL007C	S000003930	LMO1	0.22	4.35	2.07	0.163	0.308
YGL251C	S000003220	HFM1	0.22	2.13	0.656	0.426	0.598
YLR263W	S000004253	RED1	0.22	2.61	0.839	0.368	0.547
YPL030W	S000005951	TRM44	0.22	5.69	3.85	0.0609	0.154
YJL087C	S000003623	TRL1	0.22	4.89	2.41	0.133	0.268
YNL221C	S000005165	POP1	0.22	5.81	3.36	0.0788	0.184
YER059W	S000000861	PCL6	0.22	4.82	2.06	0.163	0.309
YDR037W	S000002444	KRS1	0.22	7.13	3.84	0.0614	0.155
YHR068W	S000001110	DYS1	0.22	8.83	4.52	0.0435	0.119
YGR006W	S000003238	PRP18	0.22	2.53	0.601	0.446	0.615
YKL211C	S000001694	TRP3	0.22	6.34	2.9	0.101	0.22
YNL076W	S000005020	MKS1	0.22	5.36	2.29	0.143	0.282
YGL095C	S000003063	VPS45	0.22	5.19	3.12	0.0893	0.202
YNR012W	S000005295	URK1	0.22	5.37	2.79	0.107	0.229
YPL239W	S000006160	YAR1	0.22	5.36	2.27	0.145	0.284
YJL127C	S000003663	SPT10	0.22	3.88	1.93	0.177	0.327
YDR093W	S000002500	DNF2	0.22	7.77	5.46	0.0278	0.0849
YBR162W-A	S000002158	YSY6	0.22	4.24	1.2	0.283	0.456
YDL043C	S000002201	PRP11	0.22	3.79	1.32	0.261	0.43
YKL004W	S000001487	AUR1	0.22	7.7	2.67	0.115	0.241
YLR431C	S000004423	ATG23	0.22	2.91	1.02	0.323	0.501
YHL010C	S000001002	ETP1	0.22	3.81	1.28	0.268	0.438
YLR373C	S000004365	VID22	0.22	6	3.44	0.0756	0.179
YIL144W	S000001406	NDC80	0.22	3.99	1.46	0.238	0.404
YOR090C	S000005616	PTC5	0.22	5.86	3.2	0.0858	0.197
YCR094W	S000000690	CDC50	0.22	5.36	4.13	0.0528	0.138
YIL044C	S000001306	AGE2	0.22	5.44	3.9	0.0595	0.151
YOR305W	S000005832	RRG7	0.22	3.99	1.61	0.217	0.377
YML067C	S000004532	ERV41	0.22	6.45	4.21	0.0507	0.134
