ORF	SGD	GENENAME	logFC	logCPM	F	PValue	FDR
YER095W	S000000897	RAD51	-0.4	6.93	5.24	0.0333	0.0973
YOL154W	S000005514	ZPS1	-0.4	2.48	1.99	0.17	0.318
YFL039C	S000001855	ACT1	-0.4	12.2	6.34	0.0186	0.0622
YHR082C	S000001124	KSP1	-0.4	7.24	14.3	8.5e-4	0.00518
YDR466W	S000002874	PKH3	-0.4	5.09	8.64	0.00698	0.0287
YGR222W	S000003454	PET54	-0.4	4.31	7.39	0.0117	0.0435
YCR012W	S000000605	PGK1	-0.4	14.3	4.33	0.0479	0.128
YOR065W	S000005591	CYT1	-0.4	7.83	13.1	0.00128	0.00724
YLR385C	S000004377	SWC7	-0.4	0.662	0.581	0.453	0.62
YPL262W	S000006183	FUM1	-0.4	7.82	10.9	0.00293	0.0143
YER048C	S000000850	CAJ1	-0.41	5.88	6.87	0.0151	0.0529
YEL077C	S000006409	NA	-0.41	6.48	13.1	0.00131	0.00734
YGR288W	S000003520	MAL13	-0.41	3.86	3.96	0.0575	0.148
YMR187C	S000004799	NA	-0.41	3.37	3.8	0.0626	0.157
YNL321W	S000005265	VNX1	-0.41	7.15	12.4	0.00165	0.0089
YHR210C	S000001253	NA	-0.41	1.96	1.45	0.24	0.406
YHR191C	S000001234	CTF8	-0.41	2.52	2.67	0.115	0.24
YLR256W	S000004246	HAP1	-0.41	6.32	15	6.82e-4	0.00433
YOR044W	S000005570	IRC23	-0.41	3.3	3.39	0.0773	0.182
YLR038C	S000004028	COX12	-0.41	6.24	10.9	0.00285	0.014
YBR059C	S000000263	AKL1	-0.41	6.55	18.1	2.58e-4	0.00196
YCR009C	S000000602	RVS161	-0.41	6.52	14.1	9.12e-4	0.00547
YPL172C	S000006093	COX10	-0.41	4.89	8.51	0.00734	0.0299
YPR158W	S000006362	CUR1	-0.41	4.2	3.46	0.0752	0.178
YOL129W	S000005489	VPS68	-0.41	6.83	6.23	0.0211	0.0689
YBL045C	S000000141	COR1	-0.41	8.57	18.6	2.17e-4	0.00168
YHR017W	S000001059	YSC83	-0.41	5.3	12.2	0.00181	0.00971
YLR138W	S000004128	NHA1	-0.42	6.89	11.6	0.00224	0.0115
YJL103C	S000003639	GSM1	-0.42	3.31	3.7	0.066	0.163
YMR092C	S000004698	AIP1	-0.42	7.59	14.6	7.73e-4	0.00479
YDR377W	S000002785	ATP17	-0.42	6.18	12.9	0.00138	0.00768
YAR019C	S000000072	CDC15	-0.42	4.85	6.7	0.0158	0.0547
YIR025W	S000001464	MND2	-0.42	2.33	2.04	0.165	0.312
YJR119C	S000003880	JHD2	-0.42	2.78	3.45	0.0749	0.178
YDR320C	S000002728	SWA2	-0.42	5.87	12.7	0.00152	0.00832
YKL005C	S000001488	BYE1	-0.42	4.81	9.97	0.00411	0.0187
YMR170C	S000004780	ALD2	-0.42	3.14	2.92	0.0999	0.218
YNL073W	S000005017	MSK1	-0.42	5.46	8.77	0.0066	0.0275
YPL155C	S000006076	KIP2	-0.42	4.18	7.3	0.0122	0.045
YCL041C	S000000546	NA	-0.42	2.86	0.351	0.564	0.716
YDR109C	S000002516	NA	-0.42	4.28	9.01	0.006	0.0255
YPL206C	S000006127	PGC1	-0.42	5.57	8.4	0.0077	0.031
YBR013C	S000000217	NA	-0.42	3.35	2.64	0.117	0.243
YJR077C	S000003838	MIR1	-0.43	8.98	3.61	0.0753	0.178
YKL220C	S000001703	FRE2	-0.43	3.4	2.68	0.115	0.24
YJL188C	S000003724	BUD19	-0.43	1.71	0.339	0.569	0.719
YPL106C	S000006027	SSE1	-0.43	10.7	16.1	4.76e-4	0.00325
YOR071C	S000005597	NRT1	-0.43	4.51	3.96	0.0593	0.151
YGR279C	S000003511	SCW4	-0.43	9.13	7.46	0.012	0.0444
YML081C-A	S000007247	ATP18	-0.43	5.23	4.24	0.0529	0.138
YFR047C	S000001943	BNA6	-0.43	5.07	9.64	0.00468	0.0208
YHL050C	S000001042	NA	-0.43	4.86	5.55	0.0272	0.0839
YGR111W	S000003343	NA	-0.43	5.1	15	6.9e-4	0.00437
YOR034C	S000005560	AKR2	-0.43	5.91	14.2	8.9e-4	0.00538
YDR298C	S000002706	ATP5	-0.43	7.75	14.2	8.99e-4	0.00542
YLR295C	S000004286	ATP14	-0.43	6.16	16.1	4.77e-4	0.00325
YDR260C	S000002668	SWM1	-0.43	2.43	3.19	0.0864	0.198
YJR151C	S000003912	DAN4	-0.43	4.06	4.48	0.0444	0.121
YJL034W	S000003571	KAR2	-0.43	12.3	14.5	8.12e-4	0.00498
YBR262C	S000000466	MIC12	-0.43	3.97	3.85	0.0615	0.155
YHR083W	S000001125	SAM35	-0.44	5.91	15.7	5.48e-4	0.00363
YDL233W	S000002392	MFG1	-0.44	2.98	3.65	0.0675	0.166
YLL016W	S000003939	SDC25	-0.44	3.88	7.67	0.0104	0.0394
YOR187W	S000005713	TUF1	-0.44	9.23	16.2	4.58e-4	0.00316
YHR006W	S000001048	STP2	-0.44	3.95	6.29	0.019	0.0634
YJL133C-A	S000028805	NA	-0.44	5.5	1.73	0.204	0.361
YOR092W	S000005618	ECM3	-0.44	5.2	7.92	0.00939	0.0365
YKR089C	S000001797	TGL4	-0.44	5.81	14.2	8.98e-4	0.00542
YMR210W	S000004823	MGL2	-0.44	5	11	0.00279	0.0138
YGL036W	S000003004	NA	-0.44	5.83	16.4	4.35e-4	0.00304
YHR132W-A	S000007496	IGO2	-0.44	4.62	12.4	0.00166	0.00897
YKR031C	S000001739	SPO14	-0.44	5.39	14.2	8.89e-4	0.00538
YER057C	S000000859	HMF1	-0.44	6.28	12.3	0.0017	0.00917
YFR044C	S000001940	DUG1	-0.44	9.61	9.05	0.00605	0.0256
YJL106W	S000003642	IME2	-0.44	2.3	1.94	0.176	0.326
YOR349W	S000005876	CIN1	-0.44	4.93	10.4	0.00348	0.0164
YLL029W	S000003952	FRA1	-0.44	6.74	17	3.57e-4	0.00261
YPR100W	S000006304	MRPL51	-0.45	5.33	8.55	0.00723	0.0296
YCR068W	S000000664	ATG15	-0.45	4.46	9.92	0.0042	0.019
YFR026C	S000001922	ULI1	-0.45	1.59	1.57	0.221	0.382
YLR123C	S000004113	NA	-0.45	-0.803	0.19	0.667	0.79
YLL060C	S000003983	GTT2	-0.45	1.81	1.99	0.171	0.319
YKR017C	S000001725	HEL1	-0.45	3.68	6.58	0.0167	0.0573
YDL154W	S000002313	MSH5	-0.45	3.36	6.41	0.018	0.0605
YOL105C	S000005465	WSC3	-0.45	5.87	11.7	0.00213	0.0111
YGR011W	S000003243	NA	-0.45	0.607	0.751	0.395	0.571
YMR298W	S000004913	LIP1	-0.45	5.74	18.6	2.18e-4	0.00169
YAR027W	S000000075	UIP3	-0.45	1.35	1.4	0.249	0.415
YOL096C	S000005456	COQ3	-0.45	4.4	7.8	0.00987	0.0378
YDR006C	S000002413	SOK1	-0.45	6.87	21.6	9.13e-5	8.22e-4
YPL229W	S000006150	NA	-0.45	3.69	5.83	0.0234	0.0748
YHR110W	S000001152	ERP5	-0.45	5.27	16.2	4.68e-4	0.00322
YDR436W	S000002844	PPZ2	-0.45	5.29	14.5	7.99e-4	0.00492
YJR036C	S000003797	HUL4	-0.45	3.56	5.35	0.0293	0.0882
YNR032C-A	S000007251	HUB1	-0.45	3.09	5.74	0.0243	0.0773
YJL082W	S000003618	IML2	-0.45	5.75	16.2	4.64e-4	0.0032
YOR267C	S000005793	HRK1	-0.45	6.38	21.4	9.85e-5	8.73e-4
YPR117W	S000006321	NA	-0.46	6.11	15.3	6.14e-4	0.00398
YBR024W	S000000228	SCO2	-0.46	3.92	7.47	0.0113	0.0422
YLR176C	S000004166	RFX1	-0.46	4.09	6.32	0.0187	0.0625
YBL100C	S000000196	NA	-0.46	-0.472	0.263	0.613	0.751
YNL328C	S000005272	MDJ2	-0.46	0.928	1.27	0.27	0.44
YFL036W	S000001858	RPO41	-0.46	6.91	23.1	6.04e-5	5.82e-4
YIL073C	S000001335	SPO22	-0.46	1.37	0.687	0.415	0.588
YMR119W	S000004725	ASI1	-0.46	6.72	20.4	1.29e-4	0.00108
YNL107W	S000005051	YAF9	-0.46	3.73	4.79	0.0382	0.108
YML131W	S000004600	NA	-0.46	3.93	3.08	0.0938	0.208
YAR020C	S000000073	PAU7	-0.46	1.4	1.42	0.244	0.41
YJR019C	S000003780	TES1	-0.47	4.18	5.44	0.028	0.0853
YLR450W	S000004442	HMG2	-0.47	7.28	16.6	4.03e-4	0.00287
YDL218W	S000002377	NA	-0.47	1.31	1.38	0.25	0.418
YKL023W	S000001506	NA	-0.47	3.13	4.04	0.0554	0.143
YDR202C	S000002610	RAV2	-0.47	4.17	8.69	0.00682	0.0282
YJR155W	S000003916	AAD10	-0.47	1.88	2.13	0.157	0.301
YDR482C	S000002890	CWC21	-0.47	1.73	1.77	0.196	0.351
YHR151C	S000001194	MTC6	-0.47	5.5	10.4	0.00353	0.0166
YDR249C	S000002657	NA	-0.47	3.79	6.15	0.0202	0.0667
YDR477W	S000002885	SNF1	-0.47	6.82	23.3	5.77e-5	5.62e-4
YLR465C	S000004457	BSC3	-0.47	1.7	2.04	0.166	0.313
YER070W	S000000872	RNR1	-0.47	8.19	16.7	4e-4	0.00285
YNL144C	S000005088	NA	-0.47	2.52	3.15	0.088	0.2
YEL047C	S000000773	FRD1	-0.47	6.75	16.7	3.95e-4	0.00283
YGL184C	S000003152	STR3	-0.47	2.12	0.304	0.587	0.733
YJR001W	S000003761	AVT1	-0.47	7.94	12.4	0.00172	0.00925
YNL155W	S000005099	CUZ1	-0.47	4.56	13.5	0.00115	0.00665
YPR165W	S000006369	RHO1	-0.47	8.5	24.9	3.8e-5	4e-4
YER027C	S000000829	GAL83	-0.47	6.41	18.1	2.56e-4	0.00194
YLR110C	S000004100	CCW12	-0.47	12.3	4.13	0.0564	0.145
YDR388W	S000002796	RVS167	-0.48	6.71	18.1	2.55e-4	0.00194
YBR199W	S000000403	KTR4	-0.48	7.43	19.9	1.51e-4	0.00123
YOR097C	S000005623	NA	-0.48	4.01	8.93	0.00619	0.0261
YOR219C	S000005745	STE13	-0.48	5.69	16.4	4.35e-4	0.00304
YER020W	S000000822	GPA2	-0.48	4.79	11.4	0.00239	0.0121
YDR204W	S000002612	COQ4	-0.48	5.18	12.8	0.00145	0.008
YER065C	S000000867	ICL1	-0.48	3.46	4.86	0.0369	0.105
YBR150C	S000000354	TBS1	-0.48	4.48	6.5	0.0173	0.0589
YPR153W	S000006357	MAY24	-0.48	1.32	1.94	0.176	0.325
YMR313C	S000004930	TGL3	-0.48	6.12	20.8	1.15e-4	9.91e-4
YEL025C	S000000751	NA	-0.48	5.49	18	2.66e-4	0.002
YHR194W	S000001237	MDM31	-0.48	4.7	7.89	0.0095	0.0368
YIL157C	S000001419	COA1	-0.48	5.33	18.8	2.1e-4	0.00165
YDL126C	S000002284	CDC48	-0.48	9.66	17.9	2.73e-4	0.00205
YKL193C	S000001676	SDS22	-0.48	5.03	10.1	0.00396	0.0182
YMR110C	S000004716	HFD1	-0.49	6.98	21.3	1e-4	8.8e-4
YNL264C	S000005208	PDR17	-0.49	5.81	18.1	2.58e-4	0.00196
YLR228C	S000004218	ECM22	-0.49	5.04	12.8	0.00147	0.0081
YCL057C-A	S000007547	MIC10	-0.49	5.65	5.5	0.0304	0.0908
YHR057C	S000001099	CPR2	-0.49	5.3	16.5	4.2e-4	0.00298
YCL051W	S000000556	LRE1	-0.49	4.95	11.8	0.00208	0.0108
YNR002C	S000005285	ATO2	-0.49	0.348	0.589	0.45	0.618
YBL030C	S000000126	PET9	-0.49	9.85	5.92	0.0252	0.0791
YFL042C	S000001852	LAM5	-0.49	4.83	11.3	0.00252	0.0127
YOR008C	S000005534	SLG1	-0.49	6.6	27.2	2.13e-5	2.44e-4
YNL006W	S000004951	LST8	-0.49	5.07	12.1	0.00189	0.01
YGL262W	S000003231	NA	-0.49	0.248	0.825	0.372	0.551
YBR241C	S000000445	NA	-0.49	3.5	4.48	0.0445	0.121
YMR043W	S000004646	MCM1	-0.49	5.27	7.8	0.0104	0.0395
YEL069C	S000000795	HXT13	-0.5	0.569	1.02	0.323	0.501
YKL132C	S000001615	RMA1	-0.5	2.21	3.15	0.0881	0.2
YOR344C	S000005871	TYE7	-0.5	4.6	6.81	0.0155	0.053900000000000003
YGL193C	S000003161	NA	-0.5	-0.979	0.208	0.652	0.779
YKR067W	S000001775	GPT2	-0.5	6.52	17.6	2.97e-4	0.0022
YJL221C	S000003757	IMA4	-0.5	1.15	0.692	0.414	0.588
YAR029W	S000000077	NA	-0.5	2.66	3.65	0.0677	0.166
YIL099W	S000001361	SGA1	-0.5	0.919	1.17	0.29	0.463
YKL164C	S000001647	PIR1	-0.5	9.39	13.5	0.00114	0.00658
YOL091W	S000005451	SPO21	-0.5	1.85	1.79	0.193	0.348
YLL055W	S000003978	YCT1	-0.5	3.72	8.78	0.0066	0.0275
YLR225C	S000004215	NA	-0.5	4.48	10.6	0.00325	0.0155
YGR097W	S000003329	ASK10	-0.5	8.94	11.3	0.00267	0.0132
YDL113C	S000002271	ATG20	-0.5	4.05	8.81	0.00651	0.0271
YLL018C-A	S000007245	COX19	-0.5	2.27	3.37	0.0784	0.184
YOR176W	S000005702	HEM15	-0.51	5.71	14.7	7.51e-4	0.00467
YGR191W	S000003423	HIP1	-0.51	8.44	14.5	8.09e-4	0.00497
YJR058C	S000003819	APS2	-0.51	4.21	9.44	0.00506	0.0222
YDR225W	S000002633	HTA1	-0.51	7.6	13.4	0.00123	0.007
YPL238C	S000006159	NA	-0.51	-0.125	0.367	0.55	0.704
YNL239W	S000005183	LAP3	-0.51	7.65	25.1	3.6e-5	3.85e-4
YER017C	S000000819	AFG3	-0.51	6.85	24.6	4.14e-5	4.28e-4
YAR023C	S000000074	NA	-0.51	3.54	6.35	0.0185	0.0621
YNR047W	S000005330	FPK1	-0.51	6.14	23.3	5.76e-5	5.61e-4
YBL013W	S000000109	FMT1	-0.51	1.21	1.98	0.172	0.321
YOL015W	S000005375	IRC10	-0.51	1.92	2.98	0.0968	0.212
YBL101C	S000000197	ECM21	-0.51	5.87	19.1	1.92e-4	0.00153
YNL281W	S000005225	HCH1	-0.51	7.71	20.7	1.2e-4	0.00102
YDR525W-A	S000007236	SNA2	-0.51	2.43	1.94	0.176	0.326
YPL271W	S000006192	ATP15	-0.51	5.61	5.03	0.0383	0.108
YKL053C-A	S000007243	MDM35	-0.52	4.21	9.36	0.00521	0.0228
YLR154W-A	S000028675	NA	-0.52	0.688	0.847	0.366	0.544
YGL237C	S000003206	HAP2	-0.52	3.25	4.55	0.0429	0.118
YLR356W	S000004348	ATG33	-0.52	5.08	3.45	0.08	0.187
YPL220W	S000006141	RPL1A	-0.52	1.92	0.239	0.633	0.765
YDR155C	S000002562	CPR1	-0.52	10.7	11.2	0.00264	0.0132
YHR211W	S000001254	FLO5	-0.52	3.41	7.01	0.0138	0.0493
YLR422W	S000004414	DCK1	-0.52	6.12	18	2.6e-4	0.00197
YOR040W	S000005566	GLO4	-0.52	1.92	2.15	0.155	0.298
YGR129W	S000003361	SYF2	-0.52	1.55	2.05	0.164	0.31
YNR007C	S000005290	ATG3	-0.52	3.39	6.58	0.0167	0.0572
YOL075C	S000005435	NA	-0.52	5.7	16.2	4.58e-4	0.00316
YDR154C	S000002561	NA	-0.52	9.23	17.9	2.69e-4	0.00202
YHR180W	S000001223	NA	-0.52	-0.742	0.236	0.631	0.764
YGR182C	S000003414	NA	-0.53	6.12	14.2	9.12e-4	0.00547
YJL171C	S000003707	TOH1	-0.53	7.02	15.6	5.7e-4	0.00375
YGR131W	S000003363	FHN1	-0.53	2.13	4.38	0.0466	0.126
YFL020C	S000001874	PAU5	-0.53	1.86	1.77	0.196	0.351
YDR523C	S000002931	SPS1	-0.53	1.36	1.77	0.195	0.35
YPR008W	S000006212	HAA1	-0.53	6.42	20	1.46e-4	0.00119
YLL041C	S000003964	SDH2	-0.53	5.43	14.1	9.29e-4	0.00556
YOR136W	S000005662	IDH2	-0.53	8.03	17.3	3.31e-4	0.00244
YLR006C	S000003996	SSK1	-0.53	5.67	17.1	3.43e-4	0.00252
YDR059C	S000002466	UBC5	-0.53	3.9	6.43	0.0178	0.0601
YFR022W	S000001918	ROG3	-0.53	3.87	7.1	0.0133	0.0481
YKL020C	S000001503	SPT23	-0.53	6.52	24	4.78e-5	4.8e-4
YOR229W	S000005755	WTM2	-0.53	4.05	12.6	0.00155	0.00846
YCL052C	S000000557	PBN1	-0.53	6.19	21.3	9.98e-5	8.78e-4
YOL082W	S000005442	ATG19	-0.54	4.99	12.1	0.0018600000000000001	0.00991
YER142C	S000000944	MAG1	-0.54	3.02	3.72	0.0652	0.162
YML042W	S000004506	CAT2	-0.54	2.27	3	0.0954	0.21
YGR205W	S000003437	TDA10	-0.54	4.45	13.4	0.00118	0.00677
YHR171W	S000001214	ATG7	-0.54	4.58	5.64	0.0258	0.0804
YOR245C	S000005771	DGA1	-0.54	4.82	16.7	3.89e-4	0.0028
YNL280C	S000005224	ERG24	-0.55	7.48	17.2	3.46e-4	0.00254
YDR055W	S000002462	PST1	-0.55	6.75	15.8	5.59e-4	0.00369
YKR061W	S000001769	KTR2	-0.55	2.98	5.4	0.0285	0.0864
YDR490C	S000002898	PKH1	-0.55	5.45	22.1	8.03e-5	7.46e-4
YDL048C	S000002206	STP4	-0.55	3.08	5.82	0.0235	0.0752
YDL046W	S000002204	NPC2	-0.55	7.66	16.1	5.21e-4	0.00348
YDL049C	S000002207	KNH1	-0.55	-0.163	0.703	0.41	0.585
YPR113W	S000006317	PIS1	-0.55	7.02	12.9	0.00162	0.00877
YPL164C	S000006085	MLH3	-0.56	3.29	7.37	0.0118	0.0439
YOR086C	S000005612	TCB1	-0.56	7.96	30.9	8.77e-6	1.14e-4
YKR035C	S000001743	OPI8	-0.56	0.165	0.841	0.368	0.546
YPR196W	S000006400	NA	-0.56	3.54	8.15	0.00853	0.0337
YMR139W	S000004747	RIM11	-0.56	6.42	23.3	5.75e-5	5.61e-4
YGL180W	S000003148	ATG1	-0.56	4.34	7.9	0.00945	0.0366
YGL197W	S000003165	MDS3	-0.56	7.04	29.4	1.25e-5	1.54e-4
YDR122W	S000002529	KIN1	-0.56	5.8	26	2.86e-5	3.17e-4
YDL054C	S000002212	MCH1	-0.57	5.56	10.2	0.00415	0.0188
YJR104C	S000003865	SOD1	-0.57	8.87	16.4	4.37e-4	0.00305
YIL156W-B	S000028511	NA	-0.57	3.13	5.31	0.0298	0.0893
YNL074C	S000005018	MLF3	-0.57	6.5	28.4	1.59e-5	1.9e-4
YDR517W	S000002925	GRH1	-0.57	6.32	19.5	1.68e-4	0.00136
YGR073C	S000003305	NA	-0.57	1.34	2.56	0.122	0.252
YJL093C	S000003629	TOK1	-0.57	5.74	24.4	4.27e-5	4.38e-4
YNR033W	S000005316	ABZ1	-0.57	5.78	22.7	6.75e-5	6.41e-4
YDR530C	S000002938	APA2	-0.57	4.6	16	4.87e-4	0.00331
YJL079C	S000003615	PRY1	-0.57	5.65	5.4	0.0319	0.0942
YCR008W	S000000601	SAT4	-0.57	7.27	31.2	8.15e-6	1.09e-4
YGL248W	S000003217	PDE1	-0.57	3.82	7.75	0.0101	0.0385
YCR079W	S000002133	PTC6	-0.57	5.17	8.01	0.00993	0.038
YDL183C	S000002342	NA	-0.57	2.33	5.39	0.0287	0.0868
YER182W	S000000984	FMP10	-0.57	3.6	8.24	0.00821	0.0326
YPR042C	S000006246	PUF2	-0.57	6.34	15.4	6.57e-4	0.00421
YBL047C	S000000143	EDE1	-0.57	8.74	26.6	2.46e-5	2.76e-4
YML110C	S000004578	COQ5	-0.58	6.84	30.7	9.26e-6	1.19e-4
YMR150C	S000004758	IMP1	-0.58	3.34	6.63	0.0163	0.0562
YJL205C	S000003742	NCE101	-0.58	1.39	1.53	0.227	0.39
YHL035C	S000001027	VMR1	-0.58	6.57	16.6	4.54e-4	0.00315
YKL161C	S000001644	KDX1	-0.58	2.08	3.24	0.0838	0.193
YPR191W	S000006395	QCR2	-0.58	8.03	29.7	1.16e-5	1.44e-4
YKR041W	S000001749	NA	-0.58	0.481	0.819	0.374	0.553
YDR435C	S000002843	PPM1	-0.58	4.9	12.6	0.00153	0.00838
YLR352W	S000004344	NA	-0.58	6.37	21.6	9.31e-5	8.34e-4
YDR479C	S000002887	PEX29	-0.58	5.2	16.7	3.95e-4	0.00283
YGR225W	S000003457	AMA1	-0.58	0.571	0.866	0.361	0.539
YDR031W	S000002438	MIX14	-0.58	3	6.57	0.0168	0.0574
YOR382W	S000005909	FIT2	-0.58	4.3	3.83	0.0667	0.164
YGR247W	S000003479	CPD1	-0.58	4.26	15.6	5.61e-4	0.0037
YKL192C	S000001675	ACP1	-0.58	7.46	14.7	8.89e-4	0.00538
YOL086W-A	S000007626	MHF1	-0.58	2.11	4.15	0.0524	0.137
YMR186W	S000004798	HSC82	-0.58	11.7	28.3	1.63e-5	1.94e-4
YMR194C-B	S000028514	CMC4	-0.59	-0.464	0.38	0.543	0.697
YDL194W	S000002353	SNF3	-0.59	4.85	23.1	6.04e-5	5.82e-4
YGR209C	S000003441	TRX2	-0.59	7	11.5	0.00293	0.0143
YBR045C	S000000249	GIP1	-0.59	2.79	4.48	0.0444	0.121
YIL077C	S000001339	NA	-0.59	3.62	11.2	0.0026	0.013
YDR005C	S000002412	MAF1	-0.59	5.13	19.5	1.67e-4	0.00135
YLR219W	S000004209	MSC3	-0.59	5.73	23.7	5.14e-5	5.13e-4
YMR136W	S000004744	GAT2	-0.59	5.1	15.9	5.09e-4	0.00341
YBR240C	S000000444	THI2	-0.59	1.07	1.73	0.201	0.357
YMR020W	S000004622	FMS1	-0.59	6.11	13.9	9.84e-4	0.00581
YDL174C	S000002333	DLD1	-0.59	6.78	26.6	2.49e-5	2.79e-4
YHR215W	S000001258	PHO12	-0.59	1.94	0.45	0.514	0.672
YMR153C-A	S000004761	NA	-0.59	0.588	1.37	0.252	0.419
YDL248W	S000002407	COS7	-0.59	6.46	13.5	0.00133	0.00743
YKR018C	S000001726	NA	-0.59	6.77	39.9	1.29e-6	2.26e-5
YNR069C	S000005352	BSC5	-0.6	2.08	3.36	0.0785	0.184
YFR049W	S000001945	YMR31	-0.6	4.43	16.7	3.98e-4	0.00285
YLR248W	S000004238	RCK2	-0.6	7.53	22.4	7.35e-5	6.91e-4
YHR067W	S000001109	HTD2	-0.6	3.33	8.51	0.00736	0.0299
YOR003W	S000005529	YSP3	-0.6	3.07	6.51	0.0172	0.0587
YCL030C	S000000535	HIS4	-0.6	8.21	6.24	0.0246	0.0778
YGL059W	S000003027	PKP2	-0.6	3.82	8.29	0.00805	0.0321
YMR304W	S000004920	UBP15	-0.6	6.33	24.8	3.93e-5	4.11e-4
YKL140W	S000001623	TGL1	-0.6	6.51	30.7	9.11e-6	1.17e-4
YNL100W	S000005044	MIC27	-0.6	5.07	18.6	2.23e-4	0.00171
YEL070W	S000000796	DSF1	-0.6	1.97	2.09	0.161	0.306
YDR022C	S000002429	ATG31	-0.61	2.72	3.79	0.0629	0.157
YJR161C	S000003922	COS5	-0.61	5.6	9.96	0.00447	0.02
YPR098C	S000006302	NA	-0.61	4.87	20.2	1.37e-4	0.00113
YBR230W-A	S000029722	NA	-0.61	1.99	3.55	0.0713	0.172
YPR005C	S000006209	HAL1	-0.61	2.16	5.08	0.0332	0.0971
YKL136W	S000001619	NA	-0.61	-0.266	0.794	0.381	0.56
YKL032C	S000001515	IXR1	-0.61	6.06	25.8	3.02e-5	3.32e-4
YPL196W	S000006117	OXR1	-0.61	4.2	15.7	5.37e-4	0.00357
YER104W	S000000906	RTT105	-0.61	2.54	6.54	0.017	0.058
YIR016W	S000001455	NA	-0.62	3.34	8.61	0.00705	0.0289
YDR263C	S000002671	DIN7	-0.62	1.95	2.78	0.108	0.23
YDR534C	S000002942	FIT1	-0.62	2.64	6.33	0.0187	0.0625
YIR038C	S000001477	GTT1	-0.62	4.62	7.3	0.0134	0.0484
YOR366W	S000005893	NA	-0.62	-0.476	0.533	0.472	0.638
YMR119W-A	S000004726	NA	-0.62	2.96	6.26	0.0192	0.0638
YHR069C-A	S000028779	NA	-0.62	-0.448	0.405	0.53	0.687
YDR293C	S000002701	SSD1	-0.62	8.29	43.5	6.46e-7	1.27e-5
YOL097W-A	S000028854	NA	-0.62	0.0683	0.94	0.341	0.52
YGR197C	S000003429	SNG1	-0.62	5.12	18.7	2.13e-4	0.00166
YDR366C	S000002774	NA	-0.62	1.45	2.35	0.138	0.275
YGL081W	S000003049	NA	-0.62	0.778	1.14	0.296	0.469
YER011W	S000000813	TIR1	-0.63	0.813	1.17	0.29	0.462
YBR280C	S000000484	SAF1	-0.63	3.68	11.7	0.00218	0.0112
YGR243W	S000003475	MPC3	-0.63	3.53	5.28	0.0305	0.0909
YKL061W	S000001544	BLI1	-0.63	2.44	5.61	0.0259	0.0807
YML132W	S000004601	COS3	-0.63	4.73	3.09	0.0998	0.218
YFL066C	S000001828	NA	-0.63	4.21	2.46	0.139	0.277
YBR076C-A	S000028533	NA	-0.63	2.37	6.41	0.018	0.0605
YNR001C	S000005284	CIT1	-0.63	8.51	25.9	2.9e-5	3.21e-4
YIL065C	S000001327	FIS1	-0.63	3.46	6.88	0.0147	0.0516
YAR061W	S000000087	NA	-0.63	0.695	2.14	0.156	0.299
YEL012W	S000000738	UBC8	-0.63	3.93	8.25	0.00818	0.0326
YOL016C	S000005376	CMK2	-0.64	6.04	11	0.00327	0.0156
YBR026C	S000000230	ETR1	-0.64	3.7	10.7	0.00315	0.0152
YHR195W	S000001238	NVJ1	-0.64	4.95	18.4	2.34e-4	0.0018
YER098W	S000000900	UBP9	-0.64	3.65	9.1	0.00578	0.0248
YBR070C	S000000274	ALG14	-0.64	4.86	20.7	1.19e-4	0.00101
YLR342W-A	S000028571	NA	-0.64	0.236	0.855	0.364	0.542
YER026C	S000000828	CHO1	-0.64	6.93	18.6	2.63e-4	0.00198
YGL154C	S000003122	LYS5	-0.64	3	9.24	0.00547	0.0237
YLR317W	S000004309	NA	-0.64	2.42	4.59	0.042	0.116
YGL196W	S000003164	DSD1	-0.64	4.9	27.1	2.19e-5	2.51e-4
YOR230W	S000005756	WTM1	-0.64	8.36	20.7	1.29e-4	0.00108
YNL142W	S000005086	MEP2	-0.64	2.6	4.66	0.0407	0.113
YGL206C	S000003174	CHC1	-0.64	8.34	39.4	1.42e-6	2.45e-5
YDL128W	S000002286	VCX1	-0.64	6.48	25.5	3.25e-5	3.53e-4
YDR406W	S000002814	PDR15	-0.65	4.91	20.2	1.39e-4	0.00114
YER103W	S000000905	SSA4	-0.65	10.6	20.6	1.22e-4	0.00104
YOR358W	S000005885	HAP5	-0.65	3.14	5.48	0.028	0.0853
YBL007C	S000000103	SLA1	-0.65	7.94	33.1	5.32e-6	7.49e-5
YHR138C	S000001180	NA	-0.65	3.79	7.16	0.0129	0.0471
YJR126C	S000003887	VPS70	-0.65	6.23	29.3	1.28e-5	1.57e-4
YER096W	S000000898	SHC1	-0.65	4.2	10.6	0.00322	0.0154
YIL034C	S000001296	CAP2	-0.65	7.07	27.9	1.77e-5	2.09e-4
YDL195W	S000002354	SEC31	-0.65	9.06	31.6	7.4e-6	9.99e-5
YPR003C	S000006207	NA	-0.65	4.94	21.2	1.04e-4	9.05e-4
YCR006C	S000000599	NA	-0.65	0.717	2.03	0.167	0.314
YBR197C	S000000401	NA	-0.65	2.65	8.03	0.00895	0.0351
YER081W	S000000883	SER3	-0.65	5.71	23.7	5.14e-5	5.13e-4
YDR125C	S000002532	ECM18	-0.66	2.57	8.87	0.00636	0.0267
YKL055C	S000001538	OAR1	-0.66	1.19	3.27	0.0825	0.191
