ORF	SGD	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
YJL068C	S000003604	NA	-0.0152	4.39	-0.0862	0.932	0.96	-7.47
YNL108C	S000005052	NA	0.00894	6.16	0.0859	0.932	0.96	-7.78
YPL189W	S000006110	GUP2	0.0208	2.92	0.0859	0.932	0.96	-7.04
YNL146W	S000005090	NA	-0.0313	1.34	-0.0873	0.931	0.96	-6.58
YCL008C	S000000514	STP22	-0.0104	5.3	-0.0873	0.931	0.96	-7.67
YDR097C	S000002504	MSH6	0.0123	5.37	0.0878	0.931	0.96	-7.68
YGL164C	S000003132	YRB30	0.0193	3.36	0.0887	0.93	0.96	-7.22
YPL115C	S000006036	BEM3	-0.00893	6.3	-0.0886	0.93	0.96	-7.81
YDL184C	S000002343	RPL41A	-0.0589	4.6	-0.09	0.929	0.96	-7.54
YMR161W	S000004771	HLJ1	-0.011	5.12	-0.091	0.928	0.96	-7.65
YDL099W	S000002257	BUG1	-0.0237	4.64	-0.0913	0.928	0.96	-7.55
YBR193C	S000000397	MED8	-0.0178	4.15	-0.0919	0.928	0.96	-7.42
YJR153W	S000003914	PGU1	0.0218	2.7	0.0929	0.927	0.96	-7.03
YAR002C-A	S000002129	ERP1	-0.0103	8.04	-0.0944	0.926	0.96	-7.86
YML002W	S000004461	NA	0.0164	4.53	0.0942	0.926	0.96	-7.49
YNL185C	S000005129	MRPL19	0.0119	5.51	0.0941	0.926	0.96	-7.72
YDL028C	S000002186	MPS1	0.0146	4.82	0.0963	0.924	0.96	-7.59
YLR286C	S000004276	CTS1	-0.0129	9.17	-0.096	0.924	0.96	-7.83
YOL152W	S000005512	FRE7	0.0573	1.56	0.0955	0.925	0.96	-6.62
YIL121W	S000001383	QDR2	-0.047	0.661	-0.0953	0.925	0.96	-6.24
YLR154W-C	S000028422	TAR1	-0.052	4.37	-0.0952	0.925	0.96	-7.49
YCL005W	S000000511	LDB16	0.014	4.74	0.0951	0.925	0.96	-7.58
YJR050W	S000003811	ISY1	0.0232	3.04	0.0951	0.925	0.96	-7.13
YAL015C	S000000013	NTG1	0.0204	2.99	0.0948	0.925	0.96	-7.11
YGL026C	S000002994	TRP5	-0.015	8.41	-0.0948	0.925	0.96	-7.86
YPR082C	S000006286	DIB1	-0.0136	4.44	-0.097	0.924	0.96	-7.51
